 
****************************************
Report : constraint
        -all_violators
Design : aes_ASIC_new
Version: T-2022.03-SP2
Date   : Mon Mar 23 12:11:33 2026
****************************************


   min_delay/hold ('sys_clk' group)

                             Required        Actual
   Endpoint                 Path Delay     Path Delay        Slack
   u_aes_top/u_ke/round_keys_reg_10__53_/D     1.13     0.94 f    -0.19 (VIOLATED)
   u_aes_top/u_ke/round_keys_reg_10__54_/D     1.13     0.94 f    -0.19 (VIOLATED)
   u_aes_top/u_ke/round_keys_reg_10__55_/D     1.13     0.94 f    -0.19 (VIOLATED)
   u_aes_top/u_ke/round_keys_reg_10__56_/D     1.13     0.94 f    -0.19 (VIOLATED)
   u_aes_top/u_ke/round_keys_reg_10__57_/D     1.13     0.94 f    -0.19 (VIOLATED)
   u_aes_top/u_ke/round_keys_reg_10__58_/D     1.13     0.94 f    -0.19 (VIOLATED)
   u_aes_top/u_ke/round_keys_reg_10__59_/D     1.13     0.94 f    -0.19 (VIOLATED)
   u_aes_top/u_ke/round_keys_reg_10__60_/D     1.13     0.94 f    -0.19 (VIOLATED)
   u_aes_top/u_ke/round_keys_reg_10__61_/D     1.13     0.94 f    -0.19 (VIOLATED)
   u_aes_top/u_ke/round_keys_reg_10__62_/D     1.13     0.94 f    -0.19 (VIOLATED)
   u_aes_top/u_ke/round_keys_reg_10__63_/D     1.13     0.94 f    -0.19 (VIOLATED)
   u_aes_top/u_ke/round_keys_reg_10__64_/D     1.13     0.94 f    -0.19 (VIOLATED)
   u_aes_top/u_ke/round_keys_reg_10__65_/D     1.13     0.94 f    -0.19 (VIOLATED)
   u_aes_top/u_ke/round_keys_reg_10__66_/D     1.13     0.94 f    -0.19 (VIOLATED)
   u_aes_top/u_ke/round_keys_reg_10__67_/D     1.13     0.94 f    -0.19 (VIOLATED)
   u_aes_top/u_ke/round_keys_reg_10__68_/D     1.13     0.94 f    -0.19 (VIOLATED)
   u_aes_top/u_ke/round_keys_reg_10__69_/D     1.13     0.94 f    -0.19 (VIOLATED)
   u_aes_top/u_ke/round_keys_reg_10__70_/D     1.13     0.94 f    -0.19 (VIOLATED)
   u_aes_top/u_ke/round_keys_reg_10__72_/D     1.13     0.94 f    -0.19 (VIOLATED)
   u_aes_top/u_ke/round_keys_reg_10__73_/D     1.13     0.94 f    -0.19 (VIOLATED)
   u_aes_top/u_ke/round_keys_reg_10__74_/D     1.13     0.94 f    -0.19 (VIOLATED)
   u_aes_top/u_ke/round_keys_reg_10__75_/D     1.13     0.94 f    -0.19 (VIOLATED)
   u_aes_top/u_ke/round_keys_reg_10__76_/D     1.13     0.94 f    -0.19 (VIOLATED)
   u_aes_top/u_ke/round_keys_reg_10__77_/D     1.13     0.94 f    -0.19 (VIOLATED)
   u_aes_top/u_ke/round_keys_reg_10__78_/D     1.13     0.94 f    -0.19 (VIOLATED)
   u_aes_top/u_ke/round_keys_reg_10__79_/D     1.13     0.94 f    -0.19 (VIOLATED)
   u_aes_top/u_ke/round_keys_reg_10__80_/D     1.13     0.94 f    -0.19 (VIOLATED)
   u_aes_top/u_ke/round_keys_reg_10__81_/D     1.13     0.94 f    -0.19 (VIOLATED)
   u_aes_top/u_ke/round_keys_reg_10__82_/D     1.13     0.94 f    -0.19 (VIOLATED)
   u_aes_top/u_ke/round_keys_reg_10__83_/D     1.13     0.94 f    -0.19 (VIOLATED)
   u_aes_top/u_ke/round_keys_reg_10__85_/D     1.13     0.94 f    -0.19 (VIOLATED)
   u_aes_top/u_ke/round_keys_reg_10__86_/D     1.13     0.94 f    -0.19 (VIOLATED)
   u_aes_top/u_ke/round_keys_reg_10__87_/D     1.13     0.94 f    -0.19 (VIOLATED)
   u_aes_top/u_ke/round_keys_reg_10__88_/D     1.13     0.94 f    -0.19 (VIOLATED)
   u_aes_top/u_ke/round_keys_reg_10__89_/D     1.13     0.94 f    -0.19 (VIOLATED)
   u_aes_top/u_ke/round_keys_reg_10__90_/D     1.13     0.94 f    -0.19 (VIOLATED)
   u_aes_top/u_ke/round_keys_reg_10__91_/D     1.13     0.94 f    -0.19 (VIOLATED)
   u_aes_top/u_ke/round_keys_reg_10__92_/D     1.13     0.94 f    -0.19 (VIOLATED)
   u_aes_top/u_ke/round_keys_reg_10__93_/D     1.13     0.94 f    -0.19 (VIOLATED)
   u_aes_top/u_ke/round_keys_reg_10__94_/D     1.13     0.94 f    -0.19 (VIOLATED)
   u_aes_top/u_ke/round_keys_reg_10__95_/D     1.13     0.94 f    -0.19 (VIOLATED)
   u_aes_top/u_ke/round_keys_reg_10__96_/D     1.13     0.94 f    -0.19 (VIOLATED)
   u_aes_top/u_ke/round_keys_reg_10__97_/D     1.13     0.94 f    -0.19 (VIOLATED)
   u_aes_top/u_ke/round_keys_reg_10__98_/D     1.13     0.94 f    -0.19 (VIOLATED)
   u_aes_top/u_ke/round_keys_reg_10__99_/D     1.13     0.94 f    -0.19 (VIOLATED)
   u_aes_top/u_ke/round_keys_reg_10__100_/D     1.13     0.94 f    -0.19 (VIOLATED)
   u_aes_top/u_ke/round_keys_reg_10__101_/D     1.13     0.94 f    -0.19 (VIOLATED)
   u_aes_top/u_ke/round_keys_reg_10__102_/D     1.13     0.94 f    -0.19 (VIOLATED)
   u_aes_top/u_ke/round_keys_reg_10__103_/D     1.13     0.94 f    -0.19 (VIOLATED)
   u_aes_top/u_ke/round_keys_reg_10__104_/D     1.13     0.94 f    -0.19 (VIOLATED)
   u_aes_top/u_ke/round_keys_reg_10__105_/D     1.13     0.94 f    -0.19 (VIOLATED)
   u_aes_top/u_ke/round_keys_reg_10__106_/D     1.13     0.94 f    -0.19 (VIOLATED)
   u_aes_top/u_ke/round_keys_reg_10__107_/D     1.13     0.94 f    -0.19 (VIOLATED)
   u_aes_top/u_ke/round_keys_reg_10__108_/D     1.13     0.94 f    -0.19 (VIOLATED)
   u_aes_top/u_ke/round_keys_reg_10__109_/D     1.13     0.94 f    -0.19 (VIOLATED)
   u_aes_top/u_ke/round_keys_reg_10__110_/D     1.13     0.94 f    -0.19 (VIOLATED)
   u_aes_top/u_ke/round_keys_reg_10__111_/D     1.13     0.94 f    -0.19 (VIOLATED)
   u_aes_top/u_ke/round_keys_reg_10__112_/D     1.13     0.94 f    -0.19 (VIOLATED)
   u_aes_top/u_ke/round_keys_reg_10__113_/D     1.13     0.94 f    -0.19 (VIOLATED)
   u_aes_top/u_ke/round_keys_reg_10__115_/D     1.13     0.94 f    -0.19 (VIOLATED)
   u_aes_top/u_ke/round_keys_reg_10__116_/D     1.13     0.94 f    -0.19 (VIOLATED)
   u_aes_top/u_ke/round_keys_reg_10__117_/D     1.13     0.94 f    -0.19 (VIOLATED)
   u_aes_top/u_ke/round_keys_reg_10__118_/D     1.13     0.94 f    -0.19 (VIOLATED)
   u_aes_top/u_ke/round_keys_reg_10__119_/D     1.13     0.94 f    -0.19 (VIOLATED)
   u_aes_top/u_ke/round_keys_reg_10__120_/D     1.13     0.94 f    -0.19 (VIOLATED)
   u_aes_top/u_ke/round_keys_reg_10__122_/D     1.13     0.94 f    -0.19 (VIOLATED)
   u_aes_top/u_ke/round_keys_reg_10__123_/D     1.13     0.94 f    -0.19 (VIOLATED)
   u_aes_top/u_ke/round_keys_reg_10__124_/D     1.13     0.94 f    -0.19 (VIOLATED)
   u_aes_top/u_ke/round_keys_reg_10__125_/D     1.13     0.94 f    -0.19 (VIOLATED)
   u_aes_top/u_ke/round_keys_reg_10__126_/D     1.13     0.94 f    -0.19 (VIOLATED)
   u_aes_top/u_ke/round_keys_reg_10__127_/D     1.13     0.94 f    -0.19 (VIOLATED)
   u_aes_top/u_ke/round_keys_reg_10__7_/D     1.13     0.94 f    -0.18 (VIOLATED)
   u_aes_top/u_ke/round_keys_reg_10__71_/D     1.13     0.94 f    -0.18 (VIOLATED)
   u_aes_top/u_ke/round_keys_reg_10__84_/D     1.13     0.94 f    -0.18 (VIOLATED)
   u_aes_top/u_ke/round_keys_reg_10__114_/D     1.13     0.94 f    -0.18 (VIOLATED)
   u_aes_top/u_ke/round_keys_reg_10__121_/D     1.13     0.94 f    -0.18 (VIOLATED)
   u_aes_top/u_ke/round_ctrl_reg_2_/D     1.13     0.95 f    -0.18  (VIOLATED)
   u_aes_top/u_ke/round_ctrl_reg_3_/D     1.13     0.95 f    -0.18  (VIOLATED)
   u_aes_top/u_ke/round_ctrl_reg_4_/D     1.13     0.95 f    -0.18  (VIOLATED)
